canonicalId,name,description,module,path
"gds-brainstorm-game","gds-brainstorm-game","Facilitate game brainstorming sessions with game-specific techniques. Use when the user says ""brainstorm game"" or ""game ideas""","gds","_bmad/gds/workflows/1-preproduction/gds-brainstorm-game/SKILL.md"
"gds-create-game-brief","gds-create-game-brief","Create, update, or validate a game brief. Use when the user wants help producing, editing, or validating a game brief before detailed design.","gds","_bmad/gds/workflows/1-preproduction/gds-create-game-brief/SKILL.md"
"gds-domain-research","gds-domain-research","Conduct game domain and industry research. Use when the user says ""lets create a research report on [game domain or industry]""","gds","_bmad/gds/workflows/1-preproduction/research/gds-domain-research/SKILL.md"
"gds-create-narrative","gds-create-narrative","Create comprehensive narrative documentation with story structure and world-building. Use when the user says ""narrative design"" or ""create narrative""","gds","_bmad/gds/workflows/2-design/gds-create-narrative/SKILL.md"
"gds-gdd","gds-gdd","Create, update, or validate a game's Game Design Document. Use when the user wants help producing, editing, or validating a GDD — the primary design artifact covering pillars, mechanics, progression, levels, art, audio, and development epics.","gds","_bmad/gds/workflows/2-design/gds-gdd/SKILL.md"
"gds-prd","gds-prd","Create, update, validate, or analyze a game project's PRD. Use when the user wants help producing, editing, validating, or analyzing a PRD — often derived from a GDD or prepared for external-tool integration.","gds","_bmad/gds/workflows/2-design/gds-prd/SKILL.md"
"gds-ux","gds-ux","Plan game UX, UI, and HUD design specifications. Use when the user says ""lets create game UX"", ""design the HUD"", ""create UI specifications"", or ""help me plan the game UX""","gds","_bmad/gds/workflows/2-design/gds-ux/SKILL.md"
"gds-check-implementation-readiness","gds-check-implementation-readiness","Verify GDD, UX, Architecture, and Epics alignment before production. Use when the user says ""check readiness"" or ""implementation readiness""","gds","_bmad/gds/workflows/3-technical/gds-check-implementation-readiness/SKILL.md"
"gds-create-epics-and-stories","gds-create-epics-and-stories","Create Epics and Stories from GDD requirements for development. Use when the user says ""create epics"" or ""create stories""","gds","_bmad/gds/workflows/3-technical/gds-create-epics-and-stories/SKILL.md"
"gds-game-architecture","gds-game-architecture","Design scale-adaptive game architecture with engine systems and networking. Use when the user says ""game architecture"" or ""design architecture""","gds","_bmad/gds/workflows/3-technical/gds-game-architecture/SKILL.md"
"gds-generate-project-context","gds-generate-project-context","Create optimized project-context.md for AI agent consistency. Use when the user says ""project context"" or ""generate context""","gds","_bmad/gds/workflows/3-technical/gds-generate-project-context/SKILL.md"
"gds-code-review","gds-code-review","Review code changes adversarially using parallel review layers (Blind Hunter, Edge Case Hunter, Acceptance Auditor) with structured triage into actionable categories. Use when the user says ""run code review"" or ""review this code""","gds","_bmad/gds/workflows/4-production/gds-code-review/SKILL.md"
"gds-correct-course","gds-correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","gds","_bmad/gds/workflows/4-production/gds-correct-course/SKILL.md"
"gds-create-story","gds-create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","gds","_bmad/gds/workflows/4-production/gds-create-story/SKILL.md"
"gds-dev-story","gds-dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","gds","_bmad/gds/workflows/4-production/gds-dev-story/SKILL.md"
"gds-investigate","gds-investigate","Forensic case investigation with evidence-graded findings, calibrated to the input. Use when the user asks to investigate a bug, trace what caused an incident, walk through unfamiliar code, or build a mental model of a code area before working on it.","gds","_bmad/gds/workflows/4-production/gds-investigate/SKILL.md"
"gds-retrospective","gds-retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","gds","_bmad/gds/workflows/4-production/gds-retrospective/SKILL.md"
"gds-sprint-planning","gds-sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","gds","_bmad/gds/workflows/4-production/gds-sprint-planning/SKILL.md"
"gds-sprint-status","gds-sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","gds","_bmad/gds/workflows/4-production/gds-sprint-status/SKILL.md"
"gds-e2e-scaffold","gds-e2e-scaffold","Scaffold end-to-end testing infrastructure. Use when the user says ""e2e scaffold"" or ""set up e2e testing""","gds","_bmad/gds/workflows/gametest/gds-e2e-scaffold/SKILL.md"
"gds-performance-test","gds-performance-test","Design game performance testing strategy. Use when the user says ""performance test"" or ""benchmark""","gds","_bmad/gds/workflows/gametest/gds-performance-test/SKILL.md"
"gds-playtest-plan","gds-playtest-plan","Create structured playtesting plans for user feedback. Use when the user says ""playtest plan"" or ""playtesting""","gds","_bmad/gds/workflows/gametest/gds-playtest-plan/SKILL.md"
"gds-test-automate","gds-test-automate","Generate automated game tests for gameplay systems. Use when the user says ""automate tests"" or ""generate tests""","gds","_bmad/gds/workflows/gametest/gds-test-automate/SKILL.md"
"gds-test-design","gds-test-design","Create comprehensive game test scenarios. Use when the user says ""test design"" or ""design tests""","gds","_bmad/gds/workflows/gametest/gds-test-design/SKILL.md"
"gds-test-framework","gds-test-framework","Initialize game test framework for Unity, Unreal, or Godot. Use when the user says ""test framework"" or ""set up testing""","gds","_bmad/gds/workflows/gametest/gds-test-framework/SKILL.md"
"gds-test-review","gds-test-review","Review test quality and coverage. Use when the user says ""test review"" or ""review tests""","gds","_bmad/gds/workflows/gametest/gds-test-review/SKILL.md"
"gds-document-project","gds-document-project","Analyze existing game projects to produce useful documentation. Use when the user says ""document project"" or ""generate docs""","gds","_bmad/gds/workflows/gds-document-project/SKILL.md"
"gds-quick-dev","gds-quick-dev","Implements any user intent, requirement, story, bug fix or change request by producing clean working code artifacts that follow the project's existing architecture, patterns and conventions. Use when the user wants to build, fix, tweak, refactor, add or modify any code, component or feature.","gds","_bmad/gds/workflows/gds-quick-flow/gds-quick-dev/SKILL.md"
